Libellé produit,Univers,Nature,Couleurs détectées,Dimensions,embedding,sim_univers,sim_nature,univers_suspect,nature_suspect,Univers suggéré,sim_uni_best,Nature suggérée,sim_nat_best
cube 4 niches blanc 106x40x29cm,Bureau Rangement,Mini commode,['blanc'],,"[-0.02720015  0.01690492  0.00701973 ... -0.06275429 -0.00617544
  0.00197743]",0.24566966,0.11196472,False,True,Bureau Rangement,0.2456696629524231,Coffre,0.3545663356781006
klarstein bt 318 grille pain 2 tranches inox 1000w retro turquoise,Petit Electroménager,Grille pain,['bleu'],,[0.03697807 0.06882392 0.01816996 ... 0.00767126 0.04301633 0.00328096],0.19817233,0.4428984,False,False,Petit Electroménager,0.24650134146213531,Grille pain,0.44289839267730713
chargeur secteur a1400 ble compatible ipod ipad iphone md818 original blanc,TV Son Multimédia,Acc telephonie,['blanc'],,"[ 0.02108899  0.02121373 -0.01247049 ...  0.00235983 -0.02367004
 -0.01092822]",0.07989926,0.2094188,False,False,TV Son Multimédia,0.1590527594089508,Acc telephonie,0.46876803040504456
klarstein arianna hotte murale aspirante 60cm debit 560m h 63 db panneau commande tactile ecran led classe a noir,Gros Electroménager,Hotte,['noir'],"['60cm', '560m']","[ 0.00959378  0.07650131  0.01809438 ... -0.03286916  0.0226685
 -0.01265948]",0.2564044,0.36038733,False,False,Gros Electroménager,0.274759441614151,Hotte,0.36038732528686523
housse couette pieces 80 fils 2 personnes 220x240 cm geometrique rose blanc,Décoration Textile,Housse de couette,"['blanc', 'rose']",['220x240 cm'],"[-0.00322118  0.02507036  0.0169233  ...  0.00554537  0.03744573
 -0.02743251]",0.310105,0.63466305,False,False,Décoration Textile,0.40016594529151917,Housse de couette,0.6346630454063416
canape clic clac leo 188 x 89 x 81 cm 3 places noir,Canapé Salon Séjour,Canape droit,['noir'],"['188 x 89', '81 cm']","[ 0.00527722 -0.0009053  -0.02973649 ...  0.01343034 -0.00028099
 -0.01777223]",0.5270375,0.5785002,False,False,Canapé Salon Séjour,0.527037501335144,Canape droit,0.6133202314376831
floki lit coffre pu noir 140x190 cm 2 tiroirs,Chambre Literie,Lit adulte,['noir'],['140x190 cm'],"[ 0.00562402  0.01573838  0.03058885 ... -0.0027479  -0.05228052
 -0.02734653]",0.41865465,0.41625935,False,False,Chambre Literie,0.4186546504497528,Lit adulte,0.5538593530654907
klarstein falcon crest cave a vin 128 litres porte vitree 4 18 serrure inox,Gros Electroménager,Cave a vin,,,"[ 0.03341166  0.04956526  0.00932479 ... -0.00895935  0.04324194
  0.02763845]",0.0797364,0.48343974,False,False,Gros Electroménager,0.2388310432434082,Cave a vin,0.48343974351882935
homeoffice hwc a50 iv chaise bureau salon chaise salle a manger similicuir blanc pied chrome,Bureau Rangement,Chaise de bureau,"['argenté', 'blanc']",,"[ 0.07185178 -0.02045474  0.00698814 ... -0.03086786  0.04129924
 -0.01454214]",0.23806462,0.4889815,False,False,Bureau Rangement,0.3079290986061096,Chaise de bureau,0.4947175979614258
miroir porte aluminium 34 x h 94 cm noir,Décoration Textile,Miroir,['noir'],['94 cm'],"[ 0.01543335 -0.03299418 -0.02864531 ... -0.03300036  0.01048467
 -0.0212648 ]",0.16950998,0.41581947,False,False,Décoration Textile,0.1766718178987503,Miroir,0.4158194661140442
auna peggy sue record collector set tourne disque retro valise a vinyles noi,TV Son Multimédia,Platine vinyle,,,[0.00340515 0.05702196 0.02102392 ... 0.02291235 0.03190234 0.01708988],0.14038257,0.5231016,False,False,TV Son Multimédia,0.2087249755859375,Platine vinyle,0.5231016278266907
lit 90x190 cm 2 tiroirs,Enfant Bébé,Lit jeune,,['90x190 cm'],"[ 0.01024789  0.02039134  0.01408632 ...  0.00405241 -0.02739582
 -0.02520474]",0.15997526,0.3911128,False,False,Enfant Bébé,0.4727780222892761,Lit jeune,0.5879971385002136
tabouret bar marron collection vladi,Canapé Salon Séjour,Tabouret,['marron'],,"[ 0.0428586  -0.02570695  0.01577334 ... -0.00235151  0.00303066
  0.018108  ]",0.30161947,0.57182455,False,False,Canapé Salon Séjour,0.3016194701194763,Tabouret,0.5718245506286621
couette anti acariens 240x260cm,Chambre Literie,Couette,,['240x260cm'],"[ 0.00438416  0.01504324  0.03999845 ... -0.02931978  0.01917661
 -0.01399906]",0.33373082,0.5056826,False,False,Chambre Literie,0.3337308168411255,Couette,0.5255569219589233
toile ciree nappe protection 140 x 240 cm ovale,Décoration Textile,Linge de table,,"['140 x 240 cm', '240 cm']","[-0.01716077  0.00304696  0.00167971 ... -0.04102597  0.01909529
 -0.02909426]",0.3423606,0.3745958,False,False,Décoration Textile,0.34236058592796326,Linge de table,0.535609245300293
eclat nature menagere 24 pieces bois clair,Décoration Textile,Menagere couvert,,,"[ 0.05021392  0.02277435  0.03474729 ... -0.00491183  0.05699152
 -0.03474343]",0.31972888,0.30487552,False,False,Décoration Textile,0.31972888112068176,Menagere couvert,0.46869057416915894
robot aspirateur laveur amibot animal motion special animaux compagnie,Petit Electroménager,Aspirateur robot,,,"[-0.00969447 -0.025365    0.04197402 ... -0.01779022 -0.00818774
  0.00268753]",0.22695516,0.65216416,False,False,Petit Electroménager,0.22695516049861908,Aspirateur robot,0.6521641612052917
tectake boite lettres blanc,Jardin Loisirs Sport,Boite aux lettres,['blanc'],,"[ 0.0145618  -0.00419136  0.02331143 ...  0.01361345 -0.004001
 -0.01179367]",0.09368916,0.63528407,False,False,Jardin Loisirs Sport,0.2694076895713806,Boite aux lettres,0.6352840662002563
